ACMG59	ACMG Recommendations...
D018640	Stomatognathic System Abnormalities
D018754	Ventricular Dysfunction
D018761	Multiple Endocrine Neoplasia Type 1
D018771	Arthralgia
D018777	Multiple Chemical Sensitivity
D018792	Encephalitis, Viral
D018798	Anemia, Iron-Deficiency
D018813	Multiple Endocrine Neoplasia Type 2a
D018814	Multiple Endocrine Neoplasia Type 2b
D018827	Carcinoma, Lewis Lung
D018856	Cystitis, Interstitial
D018860	Sneddon Syndrome
D018876	Environmental Illness
D018877	Sick Building Syndrome
D018879	Ventricular Premature Complexes
D018887	Landau-Kleffner Syndrome
D018888	Aphasia, Primary Progressive
D018901	Peroxisomal Disorders
D018902	Chondrodysplasia Punctata, Rhizomelic
D018908	Muscle Weakness
D018917	Optic Neuropathy, Ischemic
D018921	Leukostasis
D018979	Myositis, Inclusion Body
D018980	Williams Syndrome
D018981	Congenital Disorders of Glycosylation
D019046	Bone Marrow Neoplasms
D019048	Prostatic Intraepithelial Neoplasia
D019080	Cafe-au-Lait Spots
D019082	Smith-Lemli-Opitz Syndrome
D019150	Neuroaxonal Dystrophies
D019189	Iron Metabolism Disorders
D019190	Iron Overload
D019214	Gingival Overgrowth
D019226	Oral Ulcer
D019247	HIV Wasting Syndrome
D019280	Branchio-Oto-Renal Syndrome
D019282	Wasting Syndrome
D019294	Xanthomatosis, Cerebrotendinous
D019305	Epilepsy, Rolandic
D019337	Hematologic Neoplasms
D019339	Port-Wine Stain
D019465	Craniofacial Abnormalities
D019512	Pancreatitis, Alcoholic
D019571	Arrhythmogenic Right Ventricular Dysplasia
D019572	Retinal Neoplasms
D019578	Multiple System Atrophy
D019586	Intracranial Hypertension
D019636	Neurodegenerative Diseases
D019693	Hepatitis, Autoimmune
D019694	Hepatitis B, Chronic
D019698	Hepatitis C, Chronic
D019767	Maxillofacial Abnormalities
D019851	Thrombophilia
D019871	Dyskeratosis Congenita
D019873	Schnitzler Syndrome
D019896	alpha 1-Antitrypsin Deficiency
D019954	Neurobehavioral Manifestations
D019955	Conduct Disorder
D019956	Stereotypic Movement Disorder
D019957	Motor Skills Disorders
D019958	Attention Deficit and Disruptive Behavior Disorders
D019964	Mood Disorders
D019965	Neurocognitive Disorders
D019966	Substance-Related Disorders
D019967	Schizophrenia Spectrum and Other Psychotic Disorders
D019969	Amphetamine-Related Disorders
D019970	Cocaine-Related Disorders
D019973	Alcohol-Related Disorders
D020016	Activated Protein C Resistance
D020018	Sexual Dysfunctions, Psychological
D020078	Neurogenic Inflammation
D020138	Hyperhomocysteinemia
D020140	Lysosomal Storage Diseases, Nervous System
D020141	Hemostatic Disorders
D020143	Gangliosidoses, GM2
D020147	Coagulation Protein Disorders
D020149	Manganese Poisoning
D020151	Protein C Deficiency
D020152	Antithrombin III Deficiency
D020157	Amino Acid Transport Disorders, Inborn
D020158	Hyperglycinemia, Nonketotic
D020159	Citrullinemia
D020162	Hyperargininemia
D020163	Ornithine Carbamoyltransferase Deficiency Disease
D020165	Carbamoyl-Phosphate Synthase I Deficiency Disease
D020167	Hyperlysinemias
D020176	Tyrosinemias
D020178	Sleep Disorders, Circadian Rhythm
D020181	Sleep Apnea, Obstructive
D020182	Sleep Apnea, Central
D020190	Myoclonic Epilepsy, Juvenile
D020191	Myoclonic Epilepsies, Progressive
D020192	Lafora Disease
D020194	Unverricht-Lundborg Syndrome
D020196	Trauma, Nervous System
D020198	Intracranial Hemorrhage, Traumatic
D020199	Hematoma, Subdural, Acute
D020207	Coma, Post-Head Injury
D020214	Cerebrovascular Trauma
D020225	Sagittal Sinus Thrombosis
D020233	Gait Disorders, Neurologic
D020244	Infarction, Middle Cerebral Artery
D020246	Venous Thrombosis
D020252	Gastric Antral Vascular Ectasia
D020255	Vitreous Detachment
D020256	Choroidal Neovascularization
D020258	Neurotoxicity Syndromes
D020260	Heavy Metal Poisoning, Nervous System
D020261	Arsenic Poisoning
D020262	Mercury Poisoning, Nervous System
D020263	Lead Poisoning, Nervous System
D020268	Alcohol-Induced Disorders, Nervous System
D020270	Alcohol Withdrawal Seizures
D020271	Heredodegenerative Disorders, Nervous System
D020274	Autoimmune Diseases of the Nervous System
D020278	Demyelinating Autoimmune Diseases, CNS
D020279	Hereditary Central Nervous System Demyelinating Diseases
D020288	Papilloma, Choroid Plexus
D020293	Vasculitis, Central Nervous System
D020294	Myasthenic Syndromes, Congenital
D020295	Brain Stem Neoplasms
D020300	Intracranial Hemorrhages
D020301	Vasospasm, Intracranial
D020323	Tics
D020325	Migraine with Aura
D020326	Migraine without Aura
D020329	Essential Tremor
D020331	Mobius Syndrome
D020335	Paraparesis
D020336	Paraparesis, Spastic
D020345	Enterocolitis, Necrotizing
D020361	Paraneoplastic Syndromes, Nervous System
D020370	Osteoarthritis, Knee
D020371	Pelizaeus-Merzbacher Disease
D020385	Myokymia
D020386	Isaacs Syndrome
D020388	Muscular Dystrophy, Duchenne
D020389	Muscular Dystrophy, Emery-Dreifuss
D020391	Muscular Dystrophy, Facioscapulohumeral
D020417	Nystagmus, Congenital
D020421	Vagus Nerve Diseases
D020422	Mononeuropathies
D020423	Median Neuropathy
D020426	Sciatic Neuropathy
D020447	Parasomnias
D020511	Neuromuscular Junction Diseases
D020512	Myopathy, Central Core
D020513	Paralysis, Hyperkalemic Periodic
D020514	Hypokalemic Periodic Paralysis
D020516	Brachial Plexus Neuropathies
D020520	Brain Infarction
D020521	Stroke
D020522	Lymphoma, Mantle-Cell
D020526	Brain Stem Infarctions
D020528	Multiple Sclerosis, Chronic Progressive
D020529	Multiple Sclerosis, Relapsing-Remitting
D020642	Acatalasia
D020721	Nervous System Autoimmune Disease, Experimental
D020734	Parkinsonian Disorders
D020739	Brain Diseases, Metabolic, Inborn
D020752	Neurocutaneous Syndromes
D020754	Spinocerebellar Ataxias
D020765	Intracranial Arterial Diseases
D020767	Intracranial Thrombosis
D020773	Headache Disorders
D020774	Pick Disease of the Brain
D020785	Central Nervous System Vascular Malformations
D020786	Hemangioma, Cavernous, Central Nervous System
D020788	Bardet-Biedl Syndrome
D020790	Diabetes Insipidus, Neurogenic
D020795	Photophobia
D020803	Encephalitis, Herpes Simplex
D020805	Central Nervous System Viral Diseases
D020806	Central Nervous System Bacterial Infections
D020817	Asperger Syndrome
D020820	Dyskinesias
D020821	Dystonic Disorders
D020863	Central Nervous System Cysts
D020879	Neuromuscular Manifestations
D020886	Somatosensory Disorders
D020914	Myopathies, Structural, Congenital
D020915	Korsakoff Syndrome
D020919	Sleep Disorders, Intrinsic
D020920	Dyssomnias
D020921	Sleep Arousal Disorders
D020925	Hypoxia-Ischemia, Brain
D020936	Epilepsy, Benign Neonatal
D020955	Striatonigral Degeneration
D020961	Lewy Body Disease
D020964	Embryo Loss
D020966	Muscular Disorders, Atrophic
D020967	Myotonic Disorders
D020968	Brachial Plexus Neuritis
D021081	Chronobiology Disorders
D021181	Egg Hypersensitivity
D021183	Peanut Hypersensitivity
D021441	Carcinoma, Pancreatic Ductal
D021782	Multicystic Dysplastic Kidney
D021921	Aortic Stenosis, Supravalvular
D022861	Hermanski-Pudlak Syndrome
D023903	Coronary Restenosis
D023921	Coronary Stenosis
D023961	Gonadal Dysgenesis, 46,XX
D024741	Cardiomyopathy, Hypertrophic, Familial
D024801	Tauopathies
D024821	Metabolic Syndrome X
D025063	Chromosome Disorders
D025064	Sex Chromosome Disorders
D025241	Spondylarthritis
D025242	Spondylarthropathies
D025861	Blood Coagulation Disorders, Inherited
D025962	Septo-Optic Dysplasia
D028226	Amyloidosis, Familial
D028227	Amyloid Neuropathies, Familial
D028243	Cerebral Amyloid Angiopathy, Familial
D028361	Mitochondrial Diseases
D028921	Biotinidase Deficiency
D028922	Holocarboxylase Synthetase Deficiency
D029241	Optic Atrophy, Autosomal Dominant
D029242	Optic Atrophy, Hereditary, Leber
D029424	Pulmonary Disease, Chronic Obstructive
D029461	Sialic Acid Storage Disease
D029481	Bronchitis, Chronic
D029502	Anemia, Hypoplastic, Congenital
D029503	Anemia, Diamond-Blackfan
D029593	Jervell-Lange Nielsen Syndrome
D029597	Romano-Ward Syndrome
D030321	Denys-Drash Syndrome
D030342	Genetic Diseases, Inborn
D030401	Cytochrome-c Oxidase Deficiency
D030981	Acro-Osteolysis
D031845	Hajdu-Cheney Syndrome
D031901	Gestational Trophoblastic Disease
D034062	Insomnia, Fatal Familial
D034141	Hypoalbuminemia
D034381	Hearing Loss
D034701	Mastocytosis, Cutaneous
D034721	Mastocytosis, Systemic
D034801	Mastocytoma
D036821	Endometrial Stromal Tumors
D038061	Lower Extremity Deformities, Congenital
D038062	Upper Extremity Deformities, Congenital
D038261	Alexander Disease
D038901	Mental Retardation, X-Linked
D038921	Coffin-Lowry Syndrome
D039141	Muscular Dystrophy, Oculopharyngeal
D039682	HIV-Associated Lipodystrophy Syndrome
D040181	Genetic Diseases, X-Linked
D040921	Stress Disorders, Traumatic
D041441	Retinoschisis
D041761	Cholecystolithiasis
D042882	Gallstones
D042883	Choledocholithiasis
D043183	Irritable Bowel Syndrome
D043202	Steroid Metabolism, Inborn Errors
D043204	Mineralocorticoid Excess Syndrome, Apparent
D044148	Lymphatic Abnormalities
D044342	Malnutrition
D044343	Overnutrition
D044483	Intestinal Polyposis
D044542	LEOPARD Syndrome
D044584	Carcinoma, Ductal
D044882	Glucose Metabolism Disorders
D044903	Congenital Hyperinsulinism
D044904	Mannosidase Deficiency Diseases
D044905	beta-Mannosidosis
D045169	Severe Acute Respiratory Syndrome
D045602	Steatorrhea
D045823	Ileus
D046110	Hypertension, Pregnancy-Induced
D046150	Laron Syndrome
D046152	Gastrointestinal Stromal Tumors
D046248	Pyloric Stenosis, Hypertrophic
D046349	Coproporphyria, Hereditary
D046350	Porphyria, Variegate
D046351	Protoporphyria, Erythropoietic
D046589	CADASIL
D046768	Nesidioblastosis
D047508	Massive Hepatic Necrosis
D047748	Pituitary ACTH Hypersecretion
D047808	Adrenogenital Syndrome
D047928	Premature Birth
D048070	Fetal Nutrition Disorders
D048550	Hepatic Insufficiency
D048909	Diabetes Complications
D049068	Plagiocephaly, Nonsynostotic
D049188	Prenatal Injuries
D049288	Muscular Dystrophies, Limb-Girdle
D049290	Tay-Sachs Disease, AB Variant
D049310	Distal Myopathies
D049912	Growth Hormone-Secreting Pituitary Adenoma
D049913	ACTH-Secreting Pituitary Adenoma
D049914	DNA Repair-Deficiency Disorders
D049932	Nijmegen Breakage Syndrome
D049950	Hyperparathyroidism, Primary
D049970	Graves Ophthalmopathy
D050010	Hyperthyroxinemia, Familial Dysalbuminemic
D050030	Andersen Syndrome
D050031	Hashimoto Disease
D050033	Thyroid Dysgenesis
D050035	Sexual Infantilism
D050090	Ovotesticular Disorders of Sex Development
D050171	Dyslipidemias
D050174	Genetic Diseases, Y-Linked
D050197	Atherosclerosis
D050336	Mulibrey Nanism
D050500	Pancreatitis, Chronic
D051270	Headache Disorders, Primary
D051359	Lymphohistiocytosis, Hemophagocytic
D051436	Renal Insufficiency, Chronic
D051437	Renal Insufficiency
D051474	Neuralgia, Postherpetic
D051556	Hyperbilirubinemia, Neonatal
D051642	Histiocytoma
D051677	Histiocytoma, Malignant Fibrous
D052016	Mucositis
D052018	Bulimia Nervosa
D052120	Glycogen Storage Disease Type IIb
D052159	Frasier Syndrome
D052177	Kidney Diseases, Cystic
D052202	Hydrocolpos
D052245	Usher Syndromes
D052439	Lipid Metabolism Disorders
D052456	Hypoalphalipoproteinemias
D052476	Hypobetalipoproteinemia, Familial, Apolipoprotein B
D052496	Lipodystrophy, Familial Partial
D052497	Lipodystrophy, Congenital Generalized
D052516	Sulfatidosis
D052517	Multiple Sulfatase Deficiency Disease
D052536	Niemann-Pick Disease, Type A
D052537	Niemann-Pick Disease, Type B
D052556	Niemann-Pick Disease, Type C
D052776	Female Urogenital Diseases
D052801	Male Urogenital Diseases
D052878	Urolithiasis
D052919	Refsum Disease, Infantile
D053039	Ureterolithiasis
D053040	Nephrolithiasis
D053098	Familial Hypophosphatemic Rickets
D053099	Azotemia
D053201	Urinary Bladder, Overactive
D053306	Hyper-IgM Immunodeficiency Syndrome
D053307	Hyper-IgM Immunodeficiency Syndrome, Type 1
D053358	Ectodermal Dysplasia 1, Anhidrotic
D053359	Ectodermal Dysplasia 3, Anhidrotic
D053360	Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive
D053529	Leukokeratosis, Hereditary Mucosal
D053546	Keratoderma, Palmoplantar, Epidermolytic
D053549	Pachyonychia Congenita
D053559	Corneal Dystrophy, Juvenile Epithelial of Meesmann
D053560	Ichthyosis Bullosa of Siemens
D053578	Opsoclonus-Myoclonus Syndrome
D053579	Gitelman Syndrome
D053608	Stupor
D053609	Lethargy
D053627	Asthenozoospermia
D053632	X-Linked Combined Immunodeficiency Diseases
D053713	Azoospermia
D053840	Brugada Syndrome
D054000	Nevus, Sebaceous of Jadassohn
D054058	Acute Coronary Syndrome
D054062	Deaf-Blind Disorders
D054066	Leukemia, Large Granular Lymphocytic
D054067	Dihydropyrimidine Dehydrogenase Deficiency
D054068	Livedo Reticularis
D054069	Multiple Acyl Coenzyme A Dehydrogenase Deficiency
D054078	Mevalonate Kinase Deficiency
D054079	Vascular Malformations
D054081	Malformations of Cortical Development, Group II
D054082	Lissencephaly
D054091	Periventricular Nodular Heterotopia
D054098	Thrombocytopenia, Neonatal Alloimmune
D054119	Arachnodactyly
D054179	Angioedemas, Hereditary
D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
D054218	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
D054219	Neoplasms, Plasma Cell
D054220	Malformations of Cortical Development
D054221	Classical Lissencephalies and Subcortical Band Heterotopias
D054222	Cobblestone Lissencephaly
D054312	Buruli Ulcer
D054318	No-Reflow Phenomenon
D054331	Sertoli Cell-Only Syndrome
D054364	Solitary Fibrous Tumors
D054391	Lymphoma, Extranodal NK-T-Cell
D054429	Leukemia, Myelomonocytic, Juvenile
D054437	Myelodysplastic-Myeloproliferative Diseases
D054438	Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative
D054446	Lymphoma, Primary Cutaneous Anaplastic Large Cell
D054463	Trichothiodystrophy Syndromes
D054506	Chloracne
D054514	Persistent Hyperplastic Primary Vitreous
D054537	Atrioventricular Block
D054546	Neuroacanthocytosis
D054556	Venous Thromboembolism
D054559	Hyperphosphatemia
D054705	Mastocytoma, Skin
D054868	Jacobsen Distal 11q Deletion Syndrome
D054877	Wolf-Hirschhorn Syndrome
D054880	Aspartylglucosaminuria
D054882	Antley-Bixler Syndrome Phenotype
D054969	Primary Dysautonomias
D054971	Orthostatic Intolerance
D054973	Perivascular Epithelioid Cell Neoplasms
D054975	Pallister-Hall Syndrome
D054988	Idiopathic Interstitial Pneumonias
D054989	Nephrogenic Fibrosing Dermopathy
D054990	Idiopathic Pulmonary Fibrosis
D055008	Anthracosis
D055036	Campomelic Dysplasia
D055093	Periodontal Atrophy
D055113	Chronic Periodontitis
D055370	Lung Injury
D055371	Acute Lung Injury
D055397	Ventilator-Induced Lung Injury
D055501	Macrophage Activation Syndrome
D055534	Bulbo-Spinal Atrophy, X-Linked
D055538	delta-Thalassemia
D055577	Farber Lipogranulomatosis
D055652	Gray Platelet Syndrome
D055653	Muir-Torre Syndrome
D055665	Purpura Fulminans
D055673	Acrocallosal Syndrome
D055728	Primary Myelofibrosis
D055752	Small Cell Lung Carcinoma
D055847	Lynch Syndrome II
D055947	Loeys-Dietz Syndrome
D055948	Sarcopenia
D055952	Cogan Syndrome
D055959	Intervertebral Disc Degeneration
D055963	Asthma, Aspirin-Induced
D056128	Obesity, Abdominal
D056266	Erythrokeratodermia Variabilis
D056486	Drug-Induced Liver Injury
D056587	Cryopyrin-Associated Periodic Syndromes
D056627	Peritoneal Fibrosis
D056647	Systemic Vasculitis
D056648	Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis
D056660	Hereditary Autoinflammatory Diseases
D056684	Yellow Nail Syndrome
D056685	Costello Syndrome
D056693	Propionic Acidemia
D056725	von Willebrand Disease, Type 1
D056728	von Willebrand Disease, Type 2
D056729	von Willebrand Disease, Type 3
D056730	Silver-Russell Syndrome
D056731	Donohue Syndrome
D056732	Prolidase Deficiency
D056733	Carney Complex
D056734	Monilethrix
D056735	Autoimmune Lymphoproliferative Syndrome
D056768	Giant Axonal Neuropathy
D056769	Alstrom Syndrome
D056770	Netherton Syndrome
D056784	Leukoencephalopathies
D056806	Urea Cycle Disorders, Inborn
D056807	Argininosuccinic Aciduria
D056828	Hereditary Angioedema Type III
D056829	Hereditary Angioedema Types I and II
D056830	Isolated Noncompaction of the Ventricular Myocardium
D056846	Weill-Marchesani Syndrome
D056889	Barth Syndrome
D056929	Liddle Syndrome
D057049	Thrombotic Microangiopathies
D057130	Leber Congenital Amaurosis
D057165	Proteostasis Deficiencies
D057174	Frontotemporal Lobar Degeneration
D057177	TDP-43 Proteinopathies
D057178	Primary Progressive Nonfluent Aphasia
D057180	Frontotemporal Dementia
D057765	Eosinophilic Esophagitis
D057767	Kashin-Beck Disease
D057770	Hyalinosis, Systemic
D057826	Vitelliform Macular Dystrophy
D057973	Dent Disease
D058065	Diabetic Cardiomyopathies
D058088	Sarcoglycanopathies
D058165	22q11 Deletion Syndrome
D058186	Acute Kidney Injury
D058247	Loose Anagen Hair Syndrome
D058249	Birt-Hogg-Dube Syndrome
D058405	Desmoplastic Small Round Cell Tumor
D058447	Eye Pain
D058456	Retinal Telangiectasis
D058489	46, XX Disorders of Sex Development
D058490	46, XY Disorders of Sex Development
D058494	Walker-Warburg Syndrome
D058495	Sotos Syndrome
D058496	Smith-Magenis Syndrome
D058497	Fraser Syndrome
D058499	Retinal Dystrophies
D058531	46, XX Testicular Disorders of Sex Development
D058533	Sex Chromosome Disorders of Sex Development
D058566	Sacroiliitis
D058625	End Stage Liver Disease
D058627	Megalencephaly
D058631	Pycnodysostosis
D058729	Peripheral Arterial Disease
D058739	Aberrant Crypt Foci
D058747	CHARGE Syndrome
D058922	Inflammatory Breast Neoplasms
D059041	Plagiocephaly
D059327	Brachydactyly
D059345	Cerebral Small Vessel Diseases
D059350	Chronic Pain
D059366	Asthma, Occupational
D059446	Heterotaxy Syndrome
D060050	Angina, Stable
D060750	Bone Anteversion
D060825	Mild Cognitive Impairment
D060905	Coxa Vara
D061085	Agenesis of Corpus Callosum
D061205	Vascular Calcification
D061325	Hereditary Breast and Ovarian Cancer Syndrome
D062685	Steatocystoma Multiplex
D062689	Lipoblastoma
D063173	Retrognathia
D063646	Carcinogenesis
D063647	Fetal Alcohol Spectrum Disorders
D063730	Rickets, Hypophosphatemic
D064129	Prostatic Neoplasms, Castration-Resistant
D065626	Non-alcoholic Fatty Liver Disease
D065627	Familial Primary Pulmonary Hypertension
D065630	Hernias, Diaphragmatic, Congenital
D065631	Rhinitis, Allergic
D065646	Thyroid Carcinoma, Anaplastic
D065703	Malformations of Cortical Development, Group I
D065704	Malformations of Cortical Development, Group III
D065705	Hemimegalencephaly
D065707	Schizencephaly
D065708	Porencephaly
D065766	Atypical Hemolytic Uremic Syndrome
D065768	Lennox Gastaut Syndrome
D065817	Congenital Microtia
D065886	Neurodevelopmental Disorders
D066087	Perinatal Death
NBS1	Recommended Newborn Screening Panels
NBS10	Fatty Acid Oxidation Disorder
NBS11	Amino Acid Disorder
NBS12	Endocrine Disorder
NBS13	Hemoglobin Disorder
NBS14	Other Disorder
NBS18	2-Methylbutyrylglycinuria
NBS19	3-Methylglutaconic aciduria
NBS2	Core Conditions
NBS21	Short-chain acyl-CoA dehydrogenase deficiency
NBS22	3-hydroxyacyl-CoA dehydrogenase deficiency
NBS24	Glutaric acidemia type II
NBS26	2,4-Dienoyl-CoA reductase deficiency
NBS27	Carnitine palmitoyltransferase I deficiency
NBS28	Carnitine palmitoyltransferase II deficiency
NBS29	Carnitine-acylcarnitine translocase deficiency
NBS3	Secondary Conditions
NBS30	Argininemia
NBS31	Citrullinemia type I
NBS33	Hypermethioninemia
NBS36	Disorders of biopterin regeneration
NBS37	Tyrosinemia type II
NBS38	Tyrosinemia type III
NBS39	Hb carrier other than C,D,E,S,O-Arab
NBS4	Organic Acid Condition
NBS42	Propionic acidemia
NBS43	Methylmalonic acidemia
NBS44	Isovaleric acidemia
NBS45	3-Methylcrotonyl-CoA carboxylase deficiency
NBS46	3-Hydroxy-3-methylglutaric aciduria
NBS47	Multiple carboxylase deficiency
NBS48	beta-Ketothiolase deficiency
NBS49	Glutaric acidemia type I
NBS5	Fatty Acid Oxidation Disorder
NBS50	Carnitine uptake defect
NBS51	Medium-chain acyl-CoA dehydrogenase deficiency
NBS52	Very long-chain acyl-CoA dehydrogenase deficiency
NBS54	Trifunctional protein deficiency
NBS55	Argininosuccinic aciduria
NBS56	Maple syrup urine disease
NBS57	Homocystinuria
NBS58	Phenylketonuria
NBS59	Tyrosinemia type I
NBS6	Amino Acid Disorder
NBS61	Primary Congenital Hypothyroidism
NBS67	Hb SS-disease (sickle cell anemia)
NBS68	Hb beta zero-thalassemia
NBS7	Hemoglobin Disorder
NBS70	Biotinidase Deficiency
NBS72	Cystic fibrosis
NBS74	Pompe disease
NBS75	Hearing Loss
NBS76	Severe combined immunodeficiency
NBS77	Mucopolysaccharidosis
NBS78	X-linked Adrenoleukodystrophy
NBS79	Citrullinemia type II
NBS80	Galactosemia
NBS81	X-linked severe combined immunodeficiency (SCID)
NBS9	Organic Acid Condition
UMLS_ID	Disease_Name
